word	count
drugs	18
hell	13
gay	9
marijawana	8
fuckin	7
penis	7
shit	6
sex	4
fat	4
fucking	4
sexual	4
ass	3
turd	3
crapped	3
fuck	3
lsd	3
vagina	3
damned	3
drug	3
jew	3
douche	3
goddamned	3
rape	2
marijawanas	2
vaginal	2
shitty	1
dicks	1
mamarijuwana	1
sonofabitch	1
shits	1
dammit	1
molested	1
drudrugs	1
homoerotic	1
pussy	1
homo	1
molest	1
itits	1
jakovasaurs	1
marijuwanas	1
poop	1
queefed	1
jewish	1
bullshit	1
queef	1
molestation	1
farts	1
bitch	1
homosexual	1
condom	1
dogshit	1
butt	1
damnit	1
scrotum	1
